sample_index,acf_peak_lag,acf_peak_score,psd_peak_hz,psd_peak_power,mean,std,abs_max,real_reference_acf_lag_median,expected_period,acf_lag_distance,psd_peak_hz_distance,std_ratio_to_real_median,amp_ratio_to_real_absmax_q95,quality_score,quality_label
39,56.0,0.5449971822568687,1.6666666666666665,0.1006955431457983,0.34194945864623133,0.4077731126877406,1.156053492933615,115.0,58,2.0,0.0,0.9301335802094384,0.30140141929548325,0.10690982713618673,good
9,118.0,0.5187201131226213,1.6666666666666665,0.2699931568950393,0.43322503776566973,0.47223998697291514,1.4428332487243607,115.0,58,3.0,0.0,1.0771830121559207,0.3761694347453586,0.126073449390581,good
56,57.0,0.45986413475768645,1.6666666666666665,0.10444856348077217,0.7054050010579641,0.3898637518949599,1.1782660071135054,115.0,58,1.0,0.0,0.889282191642758,0.3071925728544341,0.13458204722766318,good
7,119.0,0.5403886955819084,1.6666666666666665,0.16437150890384225,0.6251238655406812,0.36660380091793116,1.369165292969965,115.0,58,4.0,0.0,0.8362260660557651,0.35696303421398906,0.2478218057517722,good
0,118.0,0.4959432643961998,1.6666666666666665,0.14287603641149038,-0.27909263222561365,0.3577328974946524,0.8443358688480384,115.0,58,3.0,0.0,0.8159914676870765,0.22013170738933724,0.25507551826956926,good
65,118.0,0.4833479244213381,1.6666666666666665,0.4230816126177713,0.27449394450770387,0.5475691798992769,1.2420918719537377,115.0,58,3.0,0.0,1.2490094757720709,0.32383298471097466,0.27407495573270263,good
58,115.0,0.45183524465043906,1.6666666666666665,0.12064680674846164,-0.7020588975791761,0.32819938096818313,1.381789747308131,115.0,58,0.0,0.0,0.7486252912320457,0.3602544290141541,0.2895166993749839,good
38,122.0,0.5064506947375116,1.6666666666666665,0.2075491577191477,0.23648118944750066,0.5328000333469537,1.5449785627890342,115.0,58,7.0,0.0,1.2153209398389286,0.4028003327285918,0.31569784509956,good
33,123.0,0.32464377831667157,1.6666666666666665,0.24491028727445116,0.1652742224070512,0.5972678365520041,1.4584167773893768,115.0,58,8.0,0.0,1.362372490658733,0.3802323069964936,0.4471586928210593,good
68,121.0,0.5756868828840884,1.6666666666666665,0.4317432212671979,-0.7661970937793607,0.6322837464191724,2.0510147075400935,115.0,58,6.0,0.0,1.4422440481392302,0.5347319545567022,0.4696485432198769,good
19,65.0,0.4132003039630817,1.6666666666666665,0.4131315500702537,-0.2749787180908576,0.6217785989674268,1.8250591547365442,115.0,58,7.0,0.0,1.4182817266768963,0.47582177027114164,0.47013574244598133,good
48,119.0,0.32958601203033844,1.6666666666666665,0.06986356745457893,-0.25227822577896375,0.2908805611772766,0.8819680877790279,115.0,58,4.0,0.0,0.6635007786507376,0.22994302171550737,0.4791907689014716,good
4,120.0,0.68344877773822,1.6666666666666665,0.7431883928668509,0.23919020095796942,0.6690916491724043,1.7418096787242685,115.0,58,5.0,0.0,1.526203155060734,0.4541173159538655,0.5089899496885669,good
12,120.0,0.4793293384101461,1.6666666666666665,0.3113267105151129,-0.5140170596213303,0.6808004049188819,1.6463587381325129,115.0,58,5.0,0.0,1.552910916223518,0.42923174695269467,0.5263380766927697,borderline
36,68.0,0.3554424359683117,1.3333333333333333,0.2398969002259657,0.3735086062139098,0.4766600401769363,1.3907623296916627,115.0,58,10.0,0.33333333333333326,1.0872651872269403,0.36259372307076343,0.5894126673121303,borderline
54,65.0,0.41752845330496485,1.3333333333333333,0.2626557782874065,-0.4629971854878651,0.509453242543778,1.352368239580551,115.0,58,7.0,0.33333333333333326,1.1620667319461495,0.3525837768850706,0.6042230738115976,good
41,120.0,0.52427717593789,1.6666666666666665,0.07195094025200932,0.01765977292926175,0.24858584346592955,0.5644792869592287,115.0,58,5.0,0.0,0.5670262049607163,0.14716867281000784,0.6535566560121417,good
10,80.0,0.5562893851477019,1.3333333333333333,0.17589364391960374,-0.40087491128203623,0.44570168751513484,1.5025066383877201,115.0,58,22.0,0.33333333333333326,1.016648948679701,0.3917272306852924,0.729155552432106,borderline
37,82.0,0.3116572098407399,1.3333333333333333,0.1172830802557308,0.6493790913550741,0.4432047828301128,1.4249162235943287,115.0,58,24.0,0.33333333333333326,1.0109534900487644,0.37149818308031596,0.7580203718534864,borderline
40,81.0,0.851155985900456,1.3333333333333333,0.16949121970818212,0.04448478286350566,0.4565464586329033,1.0416720913130313,115.0,58,23.0,0.33333333333333326,1.0413859543146122,0.27158037987111616,0.7704375318162475,borderline
71,41.0,0.3210822749354454,1.3333333333333333,0.08855050378257938,0.48278679963475196,0.5541854000679336,1.8345873597760194,115.0,58,17.0,0.33333333333333326,1.2641011244400375,0.47830592393685883,0.8607980776464386,borderline
63,120.0,0.44881707789722664,1.6666666666666665,0.6058545109844898,-0.4854968721612767,0.9838098104732472,2.4118238987734952,115.0,58,5.0,0.0,2.244077681407565,0.6288006140065703,0.8945015009960566,borderline
49,82.0,0.8051088403392607,1.3333333333333333,0.29072016174791165,0.1415244611831494,0.5081489713010527,1.0066310589637883,115.0,58,24.0,0.33333333333333326,1.1590916792935504,0.2624446288455819,0.8947631000760061,borderline
43,81.0,0.6912634484109828,1.3333333333333333,0.2886526869199278,-0.5665719450644099,0.5220475797678626,1.5994617831967028,115.0,58,23.0,0.33333333333333326,1.1907945112138654,0.4170049695027855,0.9045057982935094,borderline
53,81.0,0.8781476423434786,1.3333333333333333,0.48545827606049097,-1.034766386804084,0.5745973439045828,1.9195075804546724,115.0,58,23.0,0.33333333333333326,1.3106609240174936,0.5004459677980484,1.0004165896065738,borderline
