label,composite,req_m,req_s,req_n,req_x,realized_mean,realized_std,realized_min,realized_max
walking,walking|m0|s2|n1|x2,0,2,1,2,1.195457231335172,1.2506455763836606,-1.4039412523500352,2.4470991720237376
walking,walking|m3|s0|n3|x3,3,0,3,3,0.6508776554317419,0.7563301069056633,-1.5534825666162229,1.8137874479281904
walking,walking|m0|s2|n0|x2,0,2,0,2,0.5080420372331649,0.41485513967444054,-0.3680763569245585,1.2074140068953485
walking,walking|m0|s2|n2|x1,0,2,2,1,-2.2726421556496614,20.27427840494384,-44.52981493626737,35.87496760413975
walking,walking|m2|s1|n2|x1,2,1,2,1,-0.3882056143720749,1.0278879089355566,-1.67684584237764,1.586039689871605
walking,walking|m3|s3|n3|x3,3,3,3,3,0.6389707010491225,0.21241077808367057,0.14537118255074225,1.0896588127157802
walking,walking|m2|s0|n2|x0,2,0,2,0,0.4577317650171769,1.118628777956806,-1.794344869154646,2.09254219044661
walking,walking|m1|s0|n2|x1,1,0,2,1,0.08916796791796985,0.534834898401051,-1.0313960853384885,1.122826177578129
walking,walking|m2|s1|n2|x1,2,1,2,1,-1.8280961807759222,1.000009477130619,-3.6651160746278215,1.0473582369109637
walking,walking|m3|s3|n0|x3,3,3,0,3,-0.6659315734377921,1.3055033686672122,-4.021458005756958,1.6398784338389407
walking,walking|m0|s2|n2|x1,0,2,2,1,0.9922829804455273,0.960494853628958,-0.9446874599676632,2.206603366073867
walking,walking|m3|s3|n0|x3,3,3,0,3,-0.978440092032148,1.1582585251353288,-2.479056510385628,1.9050250405916693
walking,walking|m1|s3|n0|x3,1,3,0,3,0.8049506549984569,0.7218971012407688,-1.118700251583562,1.7694337871297627
walking,walking|m2|s3|n0|x2,2,3,0,2,-1.2442659616815441,2.0322603795165057,-4.419089043222497,3.8750060029229974
walking,walking|m2|s0|n2|x0,2,0,2,0,0.9838108782631466,3.049877689144071,-6.318882241564571,5.6253966574003975
walking,walking|m1|s0|n3|x0,1,0,3,0,-2.5642130671981005,1.719957478983415,-5.649878404097621,1.4300420879251858
walking,walking|m1|s2|n1|x2,1,2,1,2,0.5743849077807716,0.31597237437532455,-0.14498631449257676,1.214204656733593
walking,walking|m0|s2|n1|x2,0,2,1,2,-1.147526908118098,1.0238534667869654,-2.533633139739167,1.8066721494504026
walking,walking|m3|s3|n3|x3,3,3,3,3,-0.011426957364279088,0.4908352533610892,-0.8928326155332176,1.0168464490733091
walking,walking|m3|s1|n3|x3,3,1,3,3,-12.012831081755358,30.120234482578184,-58.46356517188384,61.90013400288969
walking,walking|m2|s0|n2|x0,2,0,2,0,-0.31837784474087055,0.6476836765956479,-1.3726965604321815,1.0474903874490085
walking,walking|m2|s3|n0|x2,2,3,0,2,-0.15583148300606886,2.685945149401999,-6.191569789437778,4.038001398021757
walking,walking|m3|s2|n3|x3,3,2,3,3,-0.4252891200000995,0.725796891199862,-1.2959676755485192,1.1543792579721284
walking,walking|m3|s3|n0|x3,3,3,0,3,-4.587173042828628,1.7686553469560242,-7.949558882302416,-1.5627521089072334
walking,walking|m3|s3|n3|x3,3,3,3,3,-0.21511176410423966,0.6602478186971724,-1.4672504679867067,1.3461141826652525
walking,walking|m3|s1|n3|x3,3,1,3,3,0.9944126810056219,0.8759287620522299,-1.09660566721759,2.3779652454986375
walking,walking|m3|s3|n0|x2,3,3,0,2,1.372374438887889,1.1065077283814273,-1.3358188221120222,2.817946252763265
walking,walking|m0|s1|n2|x1,0,1,2,1,7.128998407915903,8.90234832127241,-10.773585034417831,15.891868461915267
walking,walking|m1|s3|n0|x3,1,3,0,3,-0.02922377654997882,0.9564354267669615,-2.3492874961644414,1.4045074355359777
walking,walking|m1|s0|n2|x0,1,0,2,0,-0.5980163432580597,0.753136364918878,-2.081919919804254,1.4657466621918556
walking,walking|m3|s2|n3|x3,3,2,3,3,0.007556541720969762,0.1927111880738118,-0.3855140658502061,0.3742216175926917
walking,walking|m1|s2|n1|x2,1,2,1,2,-0.434159298629549,0.45027222847877624,-0.9940236899875683,0.5182386119433849
walking,walking|m2|s1|n0|x1,2,1,0,1,0.015250315693356373,0.4737072752092298,-0.696973585950643,1.079646992611664
walking,walking|m0|s1|n2|x1,0,1,2,1,1.8347671124637266,2.144869144245182,-3.1360239148421094,5.426865371440915
walking,walking|m2|s0|n2|x0,2,0,2,0,1.6490082353737028,0.5650080537537067,0.3054531782308508,2.8672436059969115
walking,walking|m2|s2|n1|x2,2,2,1,2,0.2623725708824283,0.3939195368188644,-0.5567306139234004,0.9143376302166499
walking,walking|m0|s2|n1|x2,0,2,1,2,0.6122576299394964,0.6850659913664842,-0.7267348212190394,1.3469798097793135
walking,walking|m1|s0|n2|x0,1,0,2,0,-0.3900597483446345,0.7719046251470452,-1.708657111690348,1.155459032176478
walking,walking|m0|s2|n1|x2,0,2,1,2,0.05474624848334566,1.0670421633799325,-1.9656764168792635,2.403440035201527
walking,walking|m3|s3|n0|x3,3,3,0,3,1.33234903607378,1.190270804089287,-1.1107490703288008,2.6911313315977283
