value_0,value_1,value_2,value_3,value_4,data
0.6314138877187937,-0.403267226215964,2.138515618369163,-0.29979649833009864,-2.030535653737182,walking|m3|s1|n3|x3
0.4747217962242732,0.05452974941845596,1.616105055421505,-0.3732340159273021,-1.8141905698061356,walking|m3|s0|n3|x3
0.7131865087567825,-0.05708592683661115,1.7016364149009238,-0.2499136281024377,-1.396927935396666,walking|m3|s2|n3|x3
0.5441935760736164,-1.0322764915497367,-0.193480834123553,0.3276273160822199,-3.1692269497748278,walking|m3|s3|n3|x3
-0.3554101618467022,1.4085945629428855,5.413216890901588,0.35157170719490005,0.46021144465178143,walking|m3|s3|n0|x3
-0.09108187440526345,-2.5496412696384647,3.344431364510131,-0.5437832177842494,2.655024138174621,walking|m3|s3|n0|x3
-1.3463788656506592,-3.3591257740123184,-0.36484526757220626,0.5848346305664612,0.5795742742841345,walking|m1|s3|n0|x3
-0.8018834362846643,-2.4604157218750395,-0.6173620391078144,0.34164637287221944,0.4934473156883281,walking|m2|s3|n0|x2
-0.5303189385291177,-1.8086026055028719,-0.6458518880596943,0.14234825680542995,0.45047993098752026,walking|m3|s3|n0|x2
-0.4873862151015406,-1.0945726185795077,-0.46331388927474526,-0.004553368491724092,0.39569237845086186,walking|m2|s1|n0|x1
-0.21300185481633283,-0.7395857998950434,-0.5434882061178554,-0.129742579178383,0.4688998449413469,walking|m2|s1|n2|x1
-0.17881340894451322,-0.6055812597132966,-0.8277008597553125,-0.24688604138301237,0.35291539682881967,walking|m2|s1|n2|x0
-0.12527242189126417,-0.12832731452017537,-0.8583870841273332,-0.20526310340219414,0.2695508004227664,walking|m2|s1|n2|x1
0.03815017175991937,0.45074352776431964,-0.6568607861094119,-0.14866336227219046,0.38161129384640224,walking|m0|s1|n1|x0
0.14498444192324,0.4483526253165093,-0.6775735615571028,-0.23936193192687052,0.3923819973004321,walking|m1|s0|n2|x0
0.05481936799590007,1.074955650135726,-0.40001447292152575,-0.13524214322557063,0.3701854741035075,walking|m1|s2|n1|x2
0.23810408876419595,1.5520216718427853,-0.19596352134929013,0.3062452354065077,0.6186587145568647,walking|m0|s2|n0|x2
0.31445158777190624,1.4363115752616051,-0.47395871533977596,0.1011768317529591,0.4589451974765615,walking|m0|s3|n1|x2
0.2866701136525437,1.2615631635941782,-0.6183408472227525,0.00266626036485663,0.21139883731411535,walking|m2|s2|n1|x2
0.18172347250939316,1.6197517412259488,-0.23111383389214438,0.1148794437059222,0.3514866002002312,walking|m1|s2|n1|x2
