label,requested_amp,composite,latent_l2,latent_maxabs,realized_max,realized_min,realized_std,realized_absmax
walking,0,walking|a0,11.023940134543547,6.9887,7.378465590744164,-8.01912497706023,3.7762275229361304,8.01912497706023
walking,0,walking|a0,6.176486629953958,5.258,3.933997794420554,-4.32729215081517,2.3657164886316813,4.32729215081517
walking,0,walking|a0,5.2306174711978315,4.0651,4.236073548787185,-2.5542489616557886,1.707824228679807,4.236073548787185
walking,0,walking|a0,1.008684054449162,0.60464,0.8903029011173929,-0.09951794424882948,0.24754080755024868,0.8903029011173929
walking,0,walking|a0,6.783063397167979,6.211,2.5925410544350784,-4.4206367578569346,1.966900189833127,4.4206367578569346
walking,0,walking|a0,6.895039818594234,4.9509,4.046735758665599,-5.123974068826584,2.125926468897177,5.123974068826584
walking,0,walking|a0,5.187471750284526,4.8904,3.7187011775168144,-3.1301319033953257,1.7156286299212054,3.7187011775168144
walking,0,walking|a0,6.908820459557478,6.7373,4.449701681647515,-4.166485457267783,2.1398049256123355,4.449701681647515
walking,0,walking|a0,7.759795067964102,6.493,-0.9195980959910306,-6.939182398119101,1.7436408071651173,6.939182398119101
walking,0,walking|a0,73.4603482252841,73.2901,11.224849066586783,-54.448159518664696,14.447655949950354,54.448159518664696
walking,0,walking|a0,2.4898312272119973,1.8612,2.3917860272635982,-0.4844445724675589,0.6454062035926745,2.3917860272635982
walking,0,walking|a0,3.8043400780687313,3.12794,3.0122139690590473,-1.3990939574662125,1.083341917941925,3.0122139690590473
walking,0,walking|a0,18.336764046308716,15.815,13.288458969064322,-12.58374057459687,6.711492225635795,13.288458969064322
walking,0,walking|a0,4.301012567989078,4.0582,2.570865356247576,-2.157022427397274,1.2981133382061316,2.570865356247576
walking,0,walking|a0,6.671506167275872,6.5083,4.299240864794915,-4.272261295343559,1.9894008334250812,4.299240864794915
walking,0,walking|a0,16.39900830882465,15.7115,12.535026129714938,-11.048513803343667,6.863378016254745,12.535026129714938
walking,0,walking|a0,9.040914758474388,5.4026,7.733795595633921,-2.5090315324156025,2.3887200553187493,7.733795595633921
walking,0,walking|a0,3.491410912510872,2.5852,0.6797703692823978,-3.0930818588704234,0.9477210814710627,3.0930818588704234
walking,0,walking|a0,1.4229747503030403,0.887,1.050703967993908,-0.873018916129338,0.4560176092255788,1.050703967993908
