[walk] <bedroom> (22:00 - 22:00) (bedroom) (relax, read, other, study, bedroom|reading)
[sit] <bed> (22:00 - 22:01) (bedroom) (relax, read, other, study, bedroom|reading)
[grab] <book> (22:01 - 22:02) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <book> (22:02 - 22:05) (bedroom) (relax, read, other, study, bedroom|reading)
[turnright] (22:05 - 22:05) (bedroom) (relax, read, other, study, bedroom|reading)
[grab] <mug> (22:05 - 22:10) (bedroom) (relax, read, other, study, bedroom|reading)
[drink] <mug> (22:10 - 22:12) (bedroom) (relax, read, other, study, bedroom|reading)
[put] <mug> <nightstand> (22:12 - 22:13) (bedroom) (relax, read, other, study, bedroom|reading)
[open] <curtains> (22:13 - 22:14) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <book> (22:14 - 22:15) (bedroom) (relax, read, other, study, bedroom|reading)
[sit] <bed> (22:15 - 22:20) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <book> (22:20 - 22:21) (bedroom) (relax, read, other, study, bedroom|reading)
[turnright] (22:21 - 22:21) (bedroom) (relax, read, other, study, bedroom|reading)
[grab] <book> (22:21 - 22:25) (bedroom) (relax, read, other, study, bedroom|reading)
[sit] <chair> (22:25 - 22:30) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <book> (22:30 - 22:30) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <book> (22:30 - 22:40) (bedroom) (relax, read, other, study, bedroom|reading)
[touch] <book> (22:40 - 22:40) (bedroom) (relax, read, other, study, bedroom|reading)
[turnleft] (22:40 - 22:40) (bedroom) (relax, read, other, study, bedroom|reading)
[put] <book> <nightstand> (22:40 - 22:50) (bedroom) (relax, read, other, study, bedroom|reading)
[sit] <bed> (22:50 - 22:50) (bedroom) (relax, read, other, study, bedroom|reading)
[lookat] <nightstand> (22:50 - 22:50) (bedroom) (relax, read, other, study, bedroom|reading)
[grab] <book> (22:50 - 22:55) (bedroom) (relax, read, other, study, bedroom|reading)
[] (relax, read, other, study, bedroom|reading)

[walk] <bathroom> (23:00 - 23:00) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[walk] <bathroom> (23:00 - 23:00) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[open] <door> (23:00 - 23:01) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[sit] <toilet> (23:01 - 23:02) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[standup] (23:02 - 23:02) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[walkforward] (23:02 - 23:03) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[grab] <barsoap> (23:03 - 23:03) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[drink] <waterglass> (23:03 - 23:04) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[put] <waterglass> <bathroomcounter> (23:04 - 23:04) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)
[close] <door> (23:05 - 23:05) (bathroom) (bed_to_toilet, bed_to_toilet, bed_to_toilet, personal_hygiene, toilet|using_the_toilet)

[walk] <bathroom> (23:05 - 23:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroom> (23:05 - 23:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchon] <lightswitch> (23:05 - 23:05) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <bathroomcounter> (23:05 - 23:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothbrush> (23:06 - 23:06) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[lookat] <toothpaste> (23:06 - 23:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <toothpaste> (23:07 - 23:07) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothpaste> <toothbrush> (23:07 - 23:08) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[drink] <waterglass> (23:08 - 23:10) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <waterglass> <bathroomcounter> (23:10 - 23:10) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[switchoff] <lightswitch> (23:11 - 23:11) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[standup] (23:11 - 23:11) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[walk] <toilet> (23:11 - 23:12) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[grab] <towel> (23:12 - 23:13) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[touch] <toothbrush> (23:13 - 23:14) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)
[put] <toothbrush> <bathroomcounter> (23:14 - 23:15) (bathroom) (other, master_bathroom, other, personal_hygiene, bathroom|using_the_sink)

[walk] <bedroom> (23:15 - 23:15) (bedroom) (sleeping, sleep, sleep, sleep, other)
[sit] <bed> (23:15 - 23:15) (bedroom) (sleeping, sleep, sleep, sleep, other)
[grab] <pillow> (23:15 - 23:20) (bedroom) (sleeping, sleep, sleep, sleep, other)
[put] <pillow> <bed> (23:20 - 23:25) (bedroom) (sleeping, sleep, sleep, sleep, other)
[switchoff] <ceilinglamp> (23:25 - 23:30) (bedroom) (sleeping, sleep, sleep, sleep, other)
[walkforward] (23:30 - 23:30) (bedroom) (sleeping, sleep, sleep, sleep, other)
[sit] <bed> (23:30 - 23:35) (bedroom) (sleeping, sleep, sleep, sleep, other)
[grab] <book> (23:35 - 23:40) (bedroom) (sleeping, sleep, sleep, sleep, other)
[lookat] <book> (23:40 - 23:45) (bedroom) (sleeping, sleep, sleep, sleep, other)
